127.0.0.1 - - [06/Nov/2012:11:10:44 +0000] "GET / HTTP/1.1" 200 3273
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:50 +0000] "GET /rewards-online/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:50 +0000] "GET /rewards-online/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:50 +0000] "GET /rewards-online/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:50 +0000] "GET /rewards-online/resources/styles/richweb-green.css HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:50 +0000] "GET /rewards-online/resources/images/springsource_banner_green.png HTTP/1.1" 200 53205
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:50 +0000] "GET /rewards-online/resources/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:50 +0000] "GET /rewards-online/resources/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:50 +0000] "GET /rewards-online/resources/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:15:46 +0000] "POST /rewards-online/rewards/newReward?execution=e1s1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:15:46 +0000] "GET /rewards-online/rewards/newReward?execution=e1s1 HTTP/1.1" 200 3794
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:15:46 +0000] "GET /rewards-online/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:15:46 +0000] "GET /rewards-online/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:15:46 +0000] "GET /rewards-online/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:15:46 +0000] "GET /rewards-online/resources/styles/richweb-green.css HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:15:46 +0000] "GET /rewards-online/resources/images/springsource_banner_green.png HTTP/1.1" 200 53205
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:15:46 +0000] "GET /rewards-online/resources/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:15:46 +0000] "GET /rewards-online/resources/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:15:46 +0000] "GET /rewards-online/resources/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:19 +0000] "POST /rewards-online/rewards/newReward?execution=e1s1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:19 +0000] "GET /rewards-online/rewards/newReward?execution=e1s2 HTTP/1.1" 200 4180
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:19 +0000] "GET /rewards-online/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:19 +0000] "GET /rewards-online/resources/styles/richweb-green.css HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:19 +0000] "GET /rewards-online/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:19 +0000] "GET /rewards-online/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:19 +0000] "GET /rewards-online/resources/images/springsource_banner_green.png HTTP/1.1" 200 53205
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:19 +0000] "GET /rewards-online/resources/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:19 +0000] "GET /rewards-online/resources/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:19 +0000] "GET /rewards-online/resources/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:56 +0000] "POST /rewards-online/rewards/newReward?execution=e1s2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:56 +0000] "GET /rewards-online/rewards/1 HTTP/1.1" 200 2286
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:56 +0000] "GET /rewards-online/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:56 +0000] "GET /rewards-online/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:56 +0000] "GET /rewards-online/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:56 +0000] "GET /rewards-online/resources/styles/richweb-green.css HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:56 +0000] "GET /rewards-online/resources/images/springsource_banner_green.png HTTP/1.1" 200 53205
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:56 +0000] "GET /rewards-online/resources/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:56 +0000] "GET /rewards-online/resources/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:16:56 +0000] "GET /rewards-online/resources/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:00 +0000] "GET /rewards-online/accounts/search HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:00 +0000] "GET /rewards-online/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:00 +0000] "GET /rewards-online/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:00 +0000] "GET /rewards-online/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:00 +0000] "GET /rewards-online/resources/styles/richweb-green.css HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:00 +0000] "GET /rewards-online/resources/images/springsource_banner_green.png HTTP/1.1" 200 53205
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:00 +0000] "GET /rewards-online/resources/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:00 +0000] "GET /rewards-online/resources/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:00 +0000] "GET /rewards-online/resources/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:17 +0000] "GET /rewards-online/accounts?searchString=a&maximumResults=5 HTTP/1.1" 200 3309
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:17 +0000] "GET /rewards-online/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:17 +0000] "GET /rewards-online/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:17 +0000] "GET /rewards-online/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:17 +0000] "GET /rewards-online/resources/styles/richweb-green.css HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:17 +0000] "GET /rewards-online/resources/images/springsource_banner_green.png HTTP/1.1" 200 53205
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:17 +0000] "GET /rewards-online/resources/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:17 +0000] "GET /rewards-online/resources/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:17 +0000] "GET /rewards-online/resources/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:37 +0000] "GET /rewards-online/accounts/search?searchString=a&maximumResults=5 HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:37 +0000] "GET /rewards-online/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:37 +0000] "GET /rewards-online/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:37 +0000] "GET /rewards-online/styles/tables.css HTTP/1.1" 200 389
fe80:0:0:0:0:0:0:1%1 - - [06/Nov/2012:11:17:37 +0000] "GET /rewards-online/resources/styles/richweb-green.css HTTP/1.1" 200 1234
fe80:0:0:0:0:0:0:1%1 - - [06/Nov/2012:11:17:37 +0000] "GET /rewards-online/resources/images/springsource_banner_green.png HTTP/1.1" 200 53205
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:37 +0000] "GET /rewards-online/resources/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:37 +0000] "GET /rewards-online/resources/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:37 +0000] "GET /rewards-online/resources/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:44 +0000] "GET /rewards-online/accounts?searchString=keith&maximumResults=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:44 +0000] "GET /rewards-online/accounts/123456789 HTTP/1.1" 200 3120
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:44 +0000] "GET /rewards-online/styles/entity.css HTTP/1.1" 200 792
fe80:0:0:0:0:0:0:1%1 - - [06/Nov/2012:11:17:44 +0000] "GET /rewards-online/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:44 +0000] "GET /rewards-online/styles/forms.css HTTP/1.1" 200 1226
fe80:0:0:0:0:0:0:1%1 - - [06/Nov/2012:11:17:44 +0000] "GET /rewards-online/resources/styles/richweb-green.css HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:44 +0000] "GET /rewards-online/resources/images/springsource_banner_green.png HTTP/1.1" 200 53205
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:44 +0000] "GET /rewards-online/resources/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:17:44 +0000] "GET /rewards-online/resources/styles/forms.css HTTP/1.1" 200 1226
fe80:0:0:0:0:0:0:1%1 - - [06/Nov/2012:11:17:44 +0000] "GET /rewards-online/resources/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:29 +0000] "GET /rewards-online/?locale=fr HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:29 +0000] "GET /rewards-online/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:29 +0000] "GET /rewards-online/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:29 +0000] "GET /rewards-online/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:29 +0000] "GET /rewards-online/resources/styles/richweb-green.css HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:29 +0000] "GET /rewards-online/resources/images/springsource_banner_green.png HTTP/1.1" 200 53205
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:29 +0000] "GET /rewards-online/resources/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:29 +0000] "GET /rewards-online/resources/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:29 +0000] "GET /rewards-online/resources/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:45 +0000] "GET /rewards-online/?theme=blue HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:45 +0000] "GET /rewards-online/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:45 +0000] "GET /rewards-online/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:45 +0000] "GET /rewards-online/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:45 +0000] "GET /rewards-online/resources/styles/richweb-blue.css HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:45 +0000] "GET /rewards-online/resources/images/springsource_banner_blue.png HTTP/1.1" 200 44830
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:45 +0000] "GET /rewards-online/resources/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:45 +0000] "GET /rewards-online/resources/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:18:45 +0000] "GET /rewards-online/resources/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:01 +0000] "GET /rewards-online/ HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:01 +0000] "GET /rewards-online/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:01 +0000] "GET /rewards-online/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:01 +0000] "GET /rewards-online/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:01 +0000] "GET /rewards-online/resources/styles/richweb-blue.css HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:01 +0000] "GET /rewards-online/resources/images/springsource_banner_blue.png HTTP/1.1" 200 44830
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:01 +0000] "GET /rewards-online/resources/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:01 +0000] "GET /rewards-online/resources/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:01 +0000] "GET /rewards-online/resources/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:46 +0000] "GET /insight HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:46 +0000] "GET /insight/ HTTP/1.1" 200 2785
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:46 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dijit/dijit.js HTTP/1.1" 200 314
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:46 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dijit/themes/tundra/images/tabClose.png HTTP/1.1" 200 373
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:46 +0000] "GET /insight/static-1.8.3.RELEASE/styles/style.css HTTP/1.1" 200 5514
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dijit/themes/tundra/tundra.css HTTP/1.1" 200 14835
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static-1.8.3.RELEASE/images/favicon.ico HTTP/1.1" 200 413
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dojo/dojo.js HTTP/1.1" 200 236186
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dojox/gfx/svg.js HTTP/1.1" 200 4198
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dojox/gfx/shape.js HTTP/1.1" 200 2513
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dojox/gfx/path.js HTTP/1.1" 200 2074
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dojo/nls/dojo_en-us.js HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dijit/themes/tundra/images/spriteArrows.png HTTP/1.1" 200 372
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dojo/resources/blank.gif HTTP/1.1" 200 71
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dijit/themes/tundra/images/warning.png HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static-1.8.3.RELEASE/images/doubleArrowLeft.png HTTP/1.1" 200 2848
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static-1.8.3.RELEASE/images/logos.png HTTP/1.1" 200 7503
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static-1.8.3.RELEASE/images/doubleArrowRight.png HTTP/1.1" 200 2853
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /favicon.ico HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/resources HTTP/1.1" 200 2974
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dojo/resources/blank.gif HTTP/1.1" 200 71
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dijit/themes/tundra/images/warning.png HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/services/resources/tree HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/services/resources/insight%3Atype%3DApplication/2012-11-06T11%3A04%3A47%2B0000/2012-11-06T11%3A19%3A47%2B0000 HTTP/1.1" 200 976
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dijit/themes/tundra/images/treeExpand_loading.gif HTTP/1.1" 200 1757
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dijit/themes/tundra/images/tooltipConnectorRight.png HTTP/1.1" 200 429
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/services/resources?sortField=responseTimeScore&sortDesc=true&context=insight%3Atype%3DApplication&start=2012-11-06T11%3A04%3A47%2B0000&end=2012-11-06T11%3A19%3A47%2B0000 HTTP/1.1" 200 901
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static/images/health/healthlamp-unacceptable.png HTTP/1.1" 200 776
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:47 +0000] "GET /insight/static/images/health/healthlamp-excellent.png HTTP/1.1" 200 799
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:48 +0000] "GET /insight/services/resources/insight%3Atype%3DApplication/2012-11-06T11%3A04%3A47%2B0000/2012-11-06T11%3A19%3A47%2B0000?type=json&sortField=responseTimeScore&sortDesc=true HTTP/1.1" 200 357
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:48 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dijit/themes/tundra/images/splitContainerSizerH-thumb.png HTTP/1.1" 200 155
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:48 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dijit/themes/tundra/images/show.png HTTP/1.1" 200 298
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:48 +0000] "GET /insight/services/resources/insight%3Atype%3DApplication/2012-11-06T11%3A05%3A00%2B0000/2012-11-06T11%3A20%3A00%2B0000/errorRate?dataPoints=45&flatten=true&start=0 HTTP/1.1" 200 580
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:48 +0000] "GET /insight/services/resources/insight%3Atype%3DApplication/2012-11-06T11%3A05%3A00%2B0000/2012-11-06T11%3A20%3A00%2B0000/health?dataPoints=45&start=0 HTTP/1.1" 200 903
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:48 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dijit/themes/tundra/images/treeExpand_minus.gif HTTP/1.1" 200 191
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:48 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dijit/themes/tundra/images/i_half.gif HTTP/1.1" 200 97
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:48 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dijit/themes/tundra/images/treeExpand_plus.gif HTTP/1.1" 200 198
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:48 +0000] "GET /insight/static-1.8.3.RELEASE/dojo/dijit/themes/tundra/images/i.gif HTTP/1.1" 200 81
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:48 +0000] "GET /insight/services/resources/insight:name=%22localhost%7Cmanager%22,type=Application/2012-11-06T11:04:47+0000/2012-11-06T11:19:47+0000/health?type=png HTTP/1.1" 200 140
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:48 +0000] "GET /insight/services/resources/insight:name=%22localhost%7CROOT%22,type=Application/2012-11-06T11:04:47+0000/2012-11-06T11:19:47+0000/health?type=png HTTP/1.1" 200 140
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:48 +0000] "GET /insight/services/resources/insight:name=%22localhost%7Crewards-online%22,type=Application/2012-11-06T11:04:47+0000/2012-11-06T11:19:47+0000/health?type=png HTTP/1.1" 200 165
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:52 +0000] "GET /insight/services/resources/insight%3Atype%3DApplication/2012-11-06T11%3A05%3A00%2B0000/2012-11-06T11%3A20%3A00%2B0000/errorRate?dataPoints=45&flatten=true&start=0 HTTP/1.1" 200 580
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:52 +0000] "GET /insight/services/resources/insight%3Atype%3DApplication/2012-11-06T11%3A05%3A00%2B0000/2012-11-06T11%3A20%3A00%2B0000/health?dataPoints=45&start=0 HTTP/1.1" 200 903
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:57 +0000] "GET /insight/services/resources/insight%3Atype%3DApplication/2012-11-06T11%3A05%3A00%2B0000/2012-11-06T11%3A20%3A00%2B0000/errorRate?dataPoints=45&flatten=true&start=0 HTTP/1.1" 200 580
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:19:57 +0000] "GET /insight/services/resources/insight%3Atype%3DApplication/2012-11-06T11%3A05%3A00%2B0000/2012-11-06T11%3A20%3A00%2B0000/health?dataPoints=45&start=0 HTTP/1.1" 200 903
